provider_id,qr_rating,provider_service_type,license_type,total_licensed_capacity,licensed_home_capacity,licensed_infant_capacity,licensed_toddler_capacity,licensed_preschool_capacity,licensed_school_age_capacity,licensed_preschool_and_school_age_capacity,licensed_resident_camp_capacity,licensed_nyo_capacity,capacity_on_site,license_age_days,school_district_operated_program,cccap_fa_status_d1,cccap_authorization_status,head_start,accepts_cccap_on_site,accepting_new_children,openings_infant,openings_toddler,openings_preschool,openings_school_age,hours_of_operation,operating_hours_per_week,licensed_to_serve,has_documented_complaint,has_documented_stage_ii,has_documented_injury_investigation,has_documented_adverse_action,language_amharic,language_arabic,language_chinese,language_english,language_farsi,language_french,language_german,language_hebrew,language_hindi,language_italian,language_japanese,language_other,language_portuguese,language_punjabi,language_russian,language_sign_language,language_spanish,language_tagalog,language_ukrainian,language_urdu,need_cognitive_delays,need_diabetes,need_food_dietary,need_medical_special_procedures,need_none,need_physical_delays_limitations,need_respiratory_illness,need_seizure_disorders,need_social_emotional_behaviors,need_speech_communication,need_willing_to_support,geo_county
2971,1,Large Family Child Care Home,Permanent,8.0,8.0,0.0,0.0,,0.0,,0.0,0.0,8.0,787,False,False,False,False,False,True,0.0,0.0,6.0,0.0,other,24.0,Home,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,Social Emotional Behaviors,,,county_3
4152,1,Child Care Center,Permanent,30.0,,,,0.0,,30.0,,,30.0,3323,False,False,False,False,False,True,0.0,0.0,0.0,0.0,other,42.5,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,,,,Respiratory Illness,,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_18
2780,4,Preschool Program,Permanent,20.0,,,,0.0,,20.0,,,20.0,3266,True,False,False,False,False,False,,,,,Monday 7:30 AM 3:30 PM Tuesday 7:30 AM 3:30 PM Wednesday 7:30 AM 3:30 PM Thursday 7:30 AM 3:30 PM Friday 7:30 AM 3:30 PM,40.0,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_18
2590,1,Child Care Center,Permanent,15.0,0.0,5.0,10.0,,0.0,,0.0,0.0,15.0,3265,False,False,False,False,False,True,0.0,1.0,0.0,0.0,Monday 7:30 AM 5:30 PM Tuesday 7:30 AM 5:30 PM Wednesday 7:30 AM 5:30 PM Thursday 7:30 AM 5:30 PM Friday 7:30 AM 5:30 PM,50.0,"Infants, Toddlers",True,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,Food/Dietary,,,,,,,,,county_41
316,4,Child Care Center,Permanent,93.0,0.0,18.0,30.0,0.0,0.0,45.0,0.0,0.0,93.0,3273,False,True,True,False,True,True,0.0,0.0,4.0,0.0,Monday 07:00 AM 05:30 PM Tuesday 07:00 AM 05:30 PM Wednesday 07:00 AM 05:30 PM Thursday 07:00 AM 05:30 PM Friday 07:00 AM 05:30 PM,52.5,"Infants, Toddlers, Preschool",True,False,True,False,,,,English,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,Willing to Support,county_1
987,2,Child Care Center,Permanent,79.0,0.0,21.0,32.0,26.0,0.0,0.0,0.0,0.0,79.0,3258,False,True,False,False,True,False,0.0,0.0,0.0,0.0,Monday 7:00 AM 5:30 PM Tuesday 7:00 AM 5:30 PM Wednesday 7:00 AM 5:30 PM Thursday 7:00 AM 5:30 PM Friday 7:00 AM 5:30 PM,52.5,"Infants, Toddlers, Preschool",True,True,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,,,,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_41
3810,1,Large Family Child Care Home,Permanent,12.0,12.0,0.0,0.0,,0.0,,0.0,0.0,12.0,1208,False,False,False,False,False,True,0.0,0.0,0.0,0.0,other,15.0,Home,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_3
3897,1,Child Care Center,Permanent,40.0,,,,40.0,,0.0,,,40.0,1778,False,True,False,False,True,True,,,5.0,,other,32.5,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_11
638,1,Large Family Child Care Home,Permanent,12.0,12.0,0.0,0.0,,0.0,,0.0,0.0,12.0,2665,False,True,False,False,True,True,0.0,0.0,0.0,0.0,Monday 07:00 AM 04:30 PM Tuesday 07:00 AM 04:30 PM Wednesday 07:00 AM 04:30 PM Thursday 07:00 AM 04:30 PM Friday 07:00 AM 04:30 PM,47.5,Home,False,False,True,False,,,,English,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,Willing to Support,county_46
1782,2,Large Family Child Care Home,Permanent,12.0,12.0,0.0,0.0,,0.0,,0.0,0.0,12.0,1705,False,False,False,False,False,True,0.0,1.0,1.0,0.0,Monday 07:30 AM 05:15 PM Tuesday 07:30 AM 05:15 PM Wednesday 07:30 AM 05:15 PM Thursday 07:30 AM 05:15 PM Friday 07:30 AM 05:15 PM,48.75,Home,False,True,True,False,,,,English,,,,,,,,,,,,,,,,,,,Food/Dietary,,,Physical Delays/Limitations,,,Social Emotional Behaviors,,Willing to Support,county_41
