provider_id,qr_rating,provider_type,transportation,toddler,school_age,preschool,infant,subsidy_accepted,is_ongoing_process,accreditation_available,food_permit_available,capacity,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,cost_under1_fulltime,cost_under1_parttime,cost_age1_fulltime,cost_age1_parttime,cost_age2_fulltime,cost_age2_parttime,cost_age3_fulltime,cost_age3_parttime,cost_age4_fulltime,cost_age4_parttime,cost_age5_fulltime,cost_age5_parttime,cost_age6to8_fulltime,cost_age6to8_parttime,cost_age8to13_fulltime,cost_age8to13_parttime,cost_age13to18_fulltime,cost_age13to18_parttime,ongoing_status,geo_county,inspection_inspectiontype_annual_inspection,inspection_inspectiontype_change_of_hours,inspection_inspectiontype_change_of_location,inspection_inspectiontype_change_of_ownership,inspection_inspectiontype_change_of_service,inspection_inspectiontype_change_of_space_change_in_capacity,inspection_inspectiontype_follow_up,inspection_inspectiontype_initial_application,inspection_inspectiontype_investigation,inspection_inspectiontype_monitoring,inspection_inspectiontype_monitoring_dpoc,inspection_inspectiontype_other,inspection_inspectiontype_post_preliminary_inspection,inspection_inspectiontype_renewal_application,inspection_reportname_kid013,inspection_reportname_kid013a,inspection_reportname_kid013b,inspection_source_dms,inspection_source_ssrs,ongoing_processtype_adverse_action,ongoing_processtype_directed_plan_of_correction
106,4,Licensed,Y,Y,N,Y,Y,N,N,,Y,72,other,other,other,other,other,No Information Available,No Information Available,,,,,,,,,,,,,,,,,,,,county_30,,Change of Hours,,,,Change of Space/Change in Capacity,Follow-up,,Investigation,,,,,Renewal Application,KID013,KID013A,KID013B,,SSRS,,
1471,4,Licensed,Y,N,N,Y,N,N,N,N,Y,51,other,other,other,other,No Information Available,No Information Available,No Information Available,,,,,,,,,,,,,,,,,,,,county_69,,Change of Hours,Change of Location,,,,,,,,,,,Renewal Application,KID013,KID013A,KID013B,,SSRS,,
847,3,Certified,N,N,N,N,N,Y,N,N,,6,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,No Information Available,No Information Available,35.0,25.0,35.0,25.0,35.0,25.0,33.0,23.0,33.0,23.0,33.0,23.0,32.0,22.0,32.0,22.0,,,,county_30,Annual Inspection,Change of Hours,,,,,,,Investigation,,,,,Renewal Application,KID013,KID013A,KID013B,,SSRS,,
697,3,Licensed,N,Y,Y,Y,Y,Y,N,N,Y,103,5:30 AM - 5:30 PM,5:30 AM - 5:30 PM,5:30 AM - 5:30 PM,5:30 AM - 5:30 PM,5:30 AM - 5:30 PM,No Information Available,No Information Available,40.0,33.0,40.0,33.0,40.0,33.0,36.0,27.0,36.0,27.0,36.0,27.0,32.0,26.0,32.0,26.0,,,,county_69,,,,,,Change of Space/Change in Capacity,Follow-up,,Investigation,,,,,Renewal Application,KID013,KID013A,KID013B,,SSRS,,
1537,3,Licensed,N,Y,Y,Y,Y,Y,N,N,Y,98,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,No Information Available,No Information Available,40.0,33.0,40.0,33.0,40.0,33.0,36.0,27.0,36.0,27.0,36.0,27.0,30.0,30.0,30.0,30.0,,,,county_30,,,,,,Change of Space/Change in Capacity,,,Investigation,,,,,Renewal Application,KID013,KID013A,KID013B,,SSRS,,
73,3,Licensed,N,Y,Y,Y,Y,Y,N,N,Y,73,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,No Information Available,No Information Available,40.0,33.0,40.0,33.0,40.0,33.0,36.0,27.0,36.0,27.0,36.0,27.0,30.0,30.0,30.0,30.0,30.0,30.0,,county_69,,,Change of Location,,,,Follow-up,,Investigation,,,,,Renewal Application,KID013,KID013A,KID013B,,SSRS,,
1071,3,Licensed,N,Y,Y,Y,Y,Y,N,N,Y,69,other,other,other,other,other,No Information Available,No Information Available,40.0,33.0,40.0,33.0,40.0,33.0,36.0,27.0,36.0,27.0,36.0,27.0,30.0,30.0,30.0,30.0,,,,county_30,,,Change of Location,,,,Follow-up,,Investigation,,,,,Renewal Application,KID013,KID013A,KID013B,,SSRS,,
294,4,Certified,N,N,N,N,N,Y,N,,,6,other,other,other,other,other,other,other,28.0,26.0,28.0,26.0,28.0,26.0,28.0,23.0,28.0,23.0,28.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,county_69,Annual Inspection,,,,,,,Initial Application,Investigation,,,,,Renewal Application,,KID013A,KID013B,DMS,SSRS,,
800,2,Licensed,N,Y,Y,Y,Y,Y,N,,Y,65,6:00 AM - 4:30 PM,6:00 AM - 4:30 PM,6:00 AM - 4:30 PM,6:00 AM - 4:30 PM,6:00 AM - 4:30 PM,No Information Available,No Information Available,40.0,,40.0,,40.0,,36.0,27.0,36.0,27.0,36.0,27.0,30.0,10.0,30.0,10.0,,,,county_69,,,Change of Location,Change of Ownership,,,,,Investigation,,,,Post-Preliminary Inspection,Renewal Application,,KID013A,KID013B,,SSRS,,
181,1,Licensed,N,Y,Y,Y,Y,Y,N,,N,119,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,No Information Available,No Information Available,40.0,33.0,40.0,33.0,40.0,33.0,36.0,27.0,36.0,27.0,36.0,27.0,30.0,30.0,30.0,30.0,30.0,30.0,,county_69,,,,,,Change of Space/Change in Capacity,,Initial Application,Investigation,,,,Post-Preliminary Inspection,Renewal Application,,KID013A,KID013B,,SSRS,,
