provider_id,qr_rating,program_type,age_6wk_17mo,age_18_23mo,age_0_23mo,age_2yr,age_3yr,age_4yr,age_5yr_preschool,age_5_15yr,licensed_capacity,enrollment_availability,accreditation_american_montessori_society_ams,accreditation_association_montessori_international_usa_ami_usa,accreditation_association_of_independent_maryland_schools_aims,accreditation_cognia_early_learning_accreditation,accreditation_maryland_accreditation,accreditation_middle_states_association_of_colleges_and_schools_commission_on_elementary_and_secondary_schools_msa_cess,accreditation_national_association_for_family_child_care_nafcc,accreditation_national_association_for_the_education_of_young_children_naeyc,accreditation_national_early_childhood_program_accreditation_necpa,achievement_accredited_program,achievement_asthma_and_allergy_friendly,achievement_cultural_and_linguistic_competency,achievement_eco_friendly_program,achievement_family_engagement,achievement_health_and_wellness,achievement_judy_center,achievement_military_child_care_in_your_neighborhood,achievement_quality_business_practices,accreditation_other
232,4,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
808,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
5622,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
6300,1,Child Care Center,False,False,False,True,True,True,True,True,40,,,,,,,,,,,,,,,,,,,,
6325,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
4319,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4216,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6789,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4812,3,Child Care Center,False,False,False,True,True,True,True,True,35,,,,,,,,,,,,,,,,,,,,
3496,1,Family Child Care,False,False,True,True,True,True,True,True,6,,,,,,,,,,,,,,,,,,,,
4055,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6721,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
5782,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
3475,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
6642,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
4566,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
499,1,Child Care Center,True,True,False,True,True,True,True,True,98,,,,,,,,,,,,,,,,,,,,
4513,3,Child Care Center,False,False,False,False,True,True,True,True,20,,,,,,,,,,,,,,,,,,,,
3741,3,Child Care Center,False,False,False,False,True,True,True,False,20,,,,,,,,,,,,,,,,,,,,
6072,1,Child Care Center,False,False,False,True,True,True,True,True,80,,,,,,,,,,,,,,,,,,,,
4142,4,Child Care Center,True,True,False,True,True,True,True,True,26,,,,,,,,,,,,,,,,,,,,
4581,3,Child Care Center,True,True,False,True,True,True,True,True,52,,,,,,,,,,,,,,,,,,,,
3927,3,Child Care Center,False,False,False,True,True,True,True,False,28,,,,,,,,,,,,,,,,,,,,
2798,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
385,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
3613,5,Large Family Child Care,False,False,True,True,True,True,True,True,12,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,,,,,,,,,
6323,5,Child Care Center,False,False,False,True,True,True,True,True,50,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
633,3,Child Care Center,True,True,False,True,True,True,True,True,18,,,,,,,,,,,,,,,,,,,,
5929,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
1146,1,LOC,False,False,False,True,True,True,True,True,238,,,,,,,,,,,,,,,,,,,,
4628,1,LOC,False,False,False,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
200,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
5279,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
1531,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
5438,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
280,5,Large Family Child Care,False,False,True,True,True,True,True,True,12,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,,,,,,,,,
3924,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
3968,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6803,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
5337,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4832,5,Large Family Child Care,False,False,True,True,True,True,True,True,12,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,,,,,,,,,
2122,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
3404,5,Large Family Child Care,False,False,True,True,True,True,True,True,12,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,,,,,,,,,
3302,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
2024,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
5360,4,Large Family Child Care,False,False,True,True,True,True,True,True,12,,,,,,,,,,,,,,,,,Judy Center,,,
3530,3,Large Family Child Care,False,False,True,True,True,True,True,True,12,,,,,,,,,,,,,,,,,Judy Center,,,
3484,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
1760,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
1369,5,Family Child Care,,,,,,,,,,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,,,,,,,,,
3336,5,Large Family Child Care,False,False,True,True,True,True,True,True,,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,,,,,,,,,
6545,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
6766,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
6762,3,School-Age Only,False,False,False,False,True,True,True,True,60,,,,,,,,,,,,,,,,,,,,
4522,5,Child Care Center,True,True,False,True,True,True,True,True,44,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,Military Child Care in Your Neighborhood,,
2504,2,Child Care Center,True,True,False,True,True,True,True,False,46,,,,,,,,,,,,,,,,,,,,
3318,3,Family Child Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6096,2,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
1186,1,Family Child Care,False,False,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
1440,3,Child Care Center,True,True,False,True,True,True,True,False,58,,,,,,,,,,,,,,,,,,,,
1706,1,Family Child Care,False,False,True,True,True,True,True,True,3,,,,,,,,,,,,,,,,,,Military Child Care in Your Neighborhood,,
4184,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4940,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4063,1,Family Child Care,False,False,True,True,True,True,True,True,7,,,,,,,,,,,,,,,,,,,,
4206,1,School-Age Only,False,False,False,False,False,False,False,True,15,,,,,,,,,,,,,,,,,,,,
5140,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
1235,1,Child Care Center,True,True,False,True,True,False,False,False,31,,,,,,,,,,,,,,,,,,,,
5818,5,Child Care Center,False,False,False,True,True,True,True,True,150,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,Quality Business Practices,
2242,2,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6822,5,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,Asthma & Allergy Friendly,Cultural and Linguistic Competency,Eco-Friendly Program,Family Engagement,Health and Wellness,Judy Center,Military Child Care in Your Neighborhood,Quality Business Practices,
486,1,Family Child Care,False,False,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
3001,2,Child Care Center,False,False,False,True,True,True,True,True,78,,,,,,,,,,,,,,,,,,,,
3696,1,Child Care Center,True,True,False,True,True,True,True,False,92,,,,,,,,,,,,,,,,,,,,
3147,1,Child Care Center,True,True,False,True,True,True,True,False,136,,,,,,,,,,,,,,,,,,,,
2669,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6024,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
4582,1,School-Age Only,False,False,False,False,False,False,False,True,30,,,,,,,,,,,,,,,,,,,,
1778,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4263,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
6667,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
4180,3,School-Age Only,False,False,False,False,False,False,False,True,45,,,,,,,,,,,,,,,,Health and Wellness,,,,
1018,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
3495,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
4815,3,School-Age Only,False,False,False,False,False,False,False,True,75,,,,,,,,,,,,,,,,Health and Wellness,,,,
6218,5,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,,,,,,,,,
1219,1,LOC,False,False,False,True,True,True,True,False,59,,,,,,,,,,,,,,,,,,,,
611,2,Family Child Care,False,False,True,True,True,True,True,False,6,,,,,,,,,,,,,,,,,,,,
2520,3,Child Care Center,False,False,False,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
5880,3,Child Care Center,False,False,False,True,True,True,True,False,27,,,,,,,,,,,,,,,,,,,,
4250,3,School-Age Only,False,False,False,False,False,False,False,True,87,,,,,,,,,,,,,,,,Health and Wellness,,,,
6176,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
2747,3,School-Age Only,False,False,False,False,False,False,False,True,45,,,,,,,,,,,,,,,,Health and Wellness,,,,
3816,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
179,3,School-Age Only,False,False,False,False,False,False,False,True,30,,,,,,,,,,,,,,,,,,,,
