provider_id,qr_rating,has_license,name_academy,name_early_head_start,name_head_start,name_learning_center,name_preschool,ptype_center,ptype_family,ptype_group,regtype_child_care_center,regtype_family_home_child_care,regtype_group_home_child_care,geo_region_1,geo_region_2,geo_region_3,geo_region_4,geo_region_5,geo_region_6,geo_region_7,name_other
157,5,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
121,4,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
74,2,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
6,3,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
96,3,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
125,3,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
20,3,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
25,3,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
104,2,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
123,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
165,5,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
52,4,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
42,4,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
131,3,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
184,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
166,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
152,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
82,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
8,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
44,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
13,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
115,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
187,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
86,5,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
11,4,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
40,4,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
59,4,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
5,4,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
154,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
177,2,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
48,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
205,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
126,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
107,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
99,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
158,4,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
55,4,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
43,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
92,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
197,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
149,2,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False
67,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
105,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
60,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
195,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
111,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
155,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
46,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
156,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
32,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
139,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
113,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
159,4,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
204,3,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False
93,3,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
169,2,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
147,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
58,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
193,5,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
145,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
150,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
80,4,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
142,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
172,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
188,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
212,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
122,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
200,2,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
110,4,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
21,4,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
203,4,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
2,4,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
62,4,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
196,4,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
19,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
185,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
143,4,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
173,3,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
194,3,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
132,3,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
85,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
65,3,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
153,3,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
108,3,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
136,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
207,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
30,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
199,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
