provider_id,qr_rating,program_type,provider_type,provider_id_source,name_academy,name_early_head_start,name_head_start,name_learning_center,name_preschool,geo_region,name_other
157,5,Group,Group Home Child Care,license,,,,,,region_3,
121,4,Center,Child Care Center,license,,,Head Start,,,region_3,
74,2,Center,Child Care Center,license,,,,Learning Center,,region_3,
6,3,Center,Group Home Child Care,license,,Early Head Start,Head Start,,,region_4,
96,3,Center,Child Care Center,license,,,Head Start,,,region_4,
125,3,Group,Group Home Child Care,license,,,,,,region_4,
20,3,Group,Group Home Child Care,license,,,,Learning Center,,region_1,
25,3,Family,Family Home Child Care,license,,,,,,region_5,
104,2,Group,Child Care Center,license,,,,,,region_7,
123,2,Group,,synthetic,,,,,Preschool,region_7,
165,5,Group,Group Home Child Care,license,,,,,,region_7,
52,4,Family,Family Home Child Care,license,,,,,Preschool,region_7,
42,4,Center,Child Care Center,license,,Early Head Start,Head Start,,,region_7,
131,3,Center,Child Care Center,license,,Early Head Start,Head Start,,,region_7,
184,3,Center,Child Care Center,license,,,,,,region_7,
166,3,Center,Child Care Center,license,,,,,,region_7,other
152,2,Center,Child Care Center,license,,,,,,region_7,
82,2,Center,,synthetic,,,,,,region_7,
8,2,Center,Child Care Center,license,,,,,,region_7,other
44,2,Family,Family Home Child Care,license,,,,,,region_7,
13,1,Center,,synthetic,Academy,,,,,region_7,
115,1,Center,,synthetic,Academy,,,,,region_7,
187,1,Group,,synthetic,,,,,Preschool,region_7,
86,5,Family,Family Home Child Care,license,,,,,,region_4,
11,4,Center,Child Care Center,license,,,,,,region_4,other
40,4,Center,Child Care Center,license,,,,,,region_4,other
59,4,Center,Child Care Center,license,,,Head Start,,,region_4,
5,4,Group,Group Home Child Care,license,,,,,,region_4,
154,3,Center,Child Care Center,license,,,,,,region_4,other
177,2,Center,,synthetic,,,,Learning Center,,region_4,other
48,2,Group,,synthetic,,,,,,region_4,
205,2,Center,Child Care Center,license,,,,,,region_4,
126,1,Center,Child Care Center,license,,,,,,region_4,
107,1,Center,Child Care Center,license,,,,,,region_4,
99,1,Center,,synthetic,,,,,,region_4,
158,4,Center,Child Care Center,license,,Early Head Start,Head Start,,,region_3,
55,4,Group,Group Home Child Care,license,,,,,,region_3,
43,2,Group,Group Home Child Care,license,,,,,,region_3,
