provider_id,qr_rating,licensed_capacity,num_visits,age_min,age_max,license_age_days,visits_count,violations_count,amenity_accredited_by_a_national_organization,amenity_field_trips,amenity_home_pick_up,amenity_provides_care_for_head_start,amenity_provides_nc_pre_k,amenity_provides_transportation,amenity_will_enroll_children_with_special_needs,facility_type_ccc,facility_type_fcc,ratio_1_year_olds_children,ratio_2_year_olds_children,ratio_3_year_olds_children,ratio_4_year_olds_children,ratio_5_12_year_olds_children,ratio_5_year_old_pre_schoolers_children,ratio_infants_children,restriction_daytime_care_only,restriction_enhanced_requirements,restriction_no_cooking,restriction_reduced_ratios,restriction_serves_no_more_than_two,visits_announced_announced_count,visits_announced_unannounced_count
2649,5,94,8,0,5,82,8,5,0,1,1,1,0,1,1,1,0,0,0,9,12,0,0,0,,,,,,1,7
2085,5,18,7,3,5,1233,7,5,0,0,0,0,1,0,1,1,0,0,0,9,12,0,0,0,0,0,0,1,0,1,6
1741,4,50,12,0,5,2537,12,8,0,0,0,0,0,0,1,1,0,0,0,10,13,20,0,0,,,,,,1,11
5270,5,18,6,2,6,1496,6,5,0,0,0,0,1,1,1,1,0,0,0,9,12,0,0,0,0,0,0,1,0,0,6
6553,3,89,7,1,12,2539,7,5,0,0,0,0,0,0,1,1,0,0,0,15,15,25,0,0,,,,,,0,7
6130,4,46,8,0,12,2461,8,3,0,0,0,0,0,0,1,1,0,0,0,10,13,20,0,0,1,0,1,0,0,1,7
6046,4,8,6,0,12,3229,6,1,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,1,1,5
1502,5,36,6,3,5,964,6,0,1,0,0,1,0,0,1,1,0,0,0,9,9,0,0,0,0,0,0,1,0,0,6
820,5,124,6,0,12,2376,6,3,0,0,0,0,1,1,0,1,0,0,0,10,13,20,0,0,,,,,,0,6
371,4,95,7,0,12,507,7,5,0,0,0,0,0,1,0,1,0,0,0,10,13,20,0,0,,,,,,2,5
916,5,199,10,0,12,2696,10,5,0,0,0,0,1,1,1,1,0,0,0,15,20,25,0,0,,,,,,0,10
4603,5,12,6,0,12,1461,6,1,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,,,,,,1,5
2578,5,160,9,2,12,695,9,4,0,0,0,1,1,1,0,1,0,0,0,10,13,20,0,0,,,,,,1,8
541,5,184,9,0,3,74,9,4,1,0,0,0,0,1,0,1,0,0,0,10,13,0,0,0,0,1,0,1,0,0,9
1621,5,105,14,3,5,43,14,7,0,0,0,1,1,1,0,1,0,0,0,9,12,0,0,0,,,,,,0,14
2166,5,75,6,0,12,1326,6,5,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,6
2151,4,5,6,0,12,2693,6,2,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,1,0,6
2145,4,92,7,0,12,2466,7,4,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,,,,,,1,6
2105,4,95,12,0,12,1345,12,6,0,0,0,0,0,1,1,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,12
6539,5,30,8,3,5,3011,8,0,0,0,0,0,1,0,1,1,0,0,0,9,12,0,0,0,0,0,0,1,0,2,6
3652,5,15,8,3,5,733,8,0,0,0,0,0,1,0,1,1,0,0,0,9,12,0,0,0,0,1,0,1,0,2,6
4150,5,60,8,3,6,733,8,3,0,0,0,0,1,0,1,1,0,0,0,9,9,0,0,0,0,1,0,1,0,2,6
527,5,45,8,3,5,1048,8,2,0,0,0,0,1,0,1,1,0,0,0,10,12,0,0,0,0,1,0,1,0,3,5
4045,5,18,7,3,5,740,7,4,0,0,0,0,1,0,1,1,0,0,0,10,12,0,0,0,0,0,0,1,0,2,5
1754,5,30,6,3,5,2858,6,3,0,0,0,0,1,0,1,1,0,0,0,10,12,0,0,0,0,1,0,1,0,0,6
3759,5,105,29,0,12,218,29,15,0,0,0,0,1,1,1,1,0,0,0,9,10,0,0,0,0,1,0,1,0,0,29
5995,5,15,8,3,5,772,8,3,0,0,0,0,1,0,1,1,0,0,0,10,12,0,0,0,0,0,0,1,0,2,6
5040,4,8,6,0,12,3230,6,5,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,1,5
3613,4,40,7,0,5,2480,7,7,0,0,0,0,0,1,1,1,0,0,0,10,13,20,0,0,,,,,,0,7
4786,5,169,12,0,12,920,12,7,0,0,0,0,0,1,1,1,0,0,0,10,20,25,0,0,0,1,0,1,0,0,12
4262,4,16,8,0,12,2698,8,3,0,0,0,0,0,0,1,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,8
581,3,8,6,0,12,2320,6,3,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,1,0,6
1326,5,90,8,3,5,2480,8,5,0,1,0,1,1,1,1,1,0,0,0,9,12,0,0,0,0,0,0,1,0,1,7
3427,4,44,6,3,12,1524,6,5,0,1,0,0,0,0,1,1,0,0,0,10,13,20,0,0,,,,,,0,6
5337,5,15,7,3,5,3245,7,3,0,1,0,0,1,0,1,1,0,0,0,9,12,0,0,0,0,1,0,1,0,0,7
4246,4,29,10,0,12,1495,10,7,0,0,0,0,0,0,1,1,0,0,0,15,20,25,0,0,0,0,0,0,0,0,10
