provider_id,qr_rating,facility_type,licensed_capacity,num_visits,ages_served,age_min,age_max,license_age_days,special_features,amenity_accredited_by_a_national_organization,amenity_field_trips,amenity_home_pick_up,amenity_provides_care_for_head_start,amenity_provides_nc_pre_k,amenity_provides_transportation,amenity_will_enroll_children_with_special_needs,ratio_1_year_olds_children,ratio_2_year_olds_children,ratio_3_year_olds_children,ratio_4_year_olds_children,ratio_5_12_year_olds_children,ratio_5_year_old_pre_schoolers_children,ratio_infants_children,restriction_daytime_care_only,restriction_enhanced_requirements,restriction_no_cooking,restriction_reduced_ratios,restriction_serves_no_more_than_two,visits_announced_announced
2649,5,CCC,94,8,0 through 5,0,5,82,other,,Field Trips,Home Pick Up,Provides care for head start,,Provides transportation,Will enroll children with special needs,0,0,9,12,0,0,0,,,,,,Announced
2085,5,CCC,18,7,3 through 5,3,5,1233,Additional Services & Amenities Will enroll children with special needs Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/9 Children 4 Year Olds 0 Adult(s)/12 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,Provides NC Pre-K,,Will enroll children with special needs,0,0,9,12,0,0,0,,,,reduced ratios,,Announced
1741,4,CCC,50,12,0 through 5,0,5,2537,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,,Will enroll children with special needs,0,0,10,13,20,0,0,,,,,,Announced
5270,5,CCC,18,6,2 through 6,2,6,1496,Additional Services & Amenities Will enroll children with special needs Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/9 Children 4 Year Olds 0 Adult(s)/12 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,0,0,9,12,0,0,0,,,,reduced ratios,,
6553,3,CCC,89,7,1 through 12,1,12,2539,other,,,,,,,Will enroll children with special needs,0,0,15,15,25,0,0,,,,,,
6130,4,CCC,46,8,0 through 12,0,12,2461,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,,Will enroll children with special needs,0,0,10,13,20,0,0,daytime care only,,no cooking,,,Announced
6046,4,FCC,8,6,0 through 12,0,12,3229,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,serves no more than two,Announced
1502,5,CCC,36,6,3 through 5,3,5,964,other,Accredited by a national organization,,,Provides care for head start,,,Will enroll children with special needs,0,0,9,9,0,0,0,,,,reduced ratios,,
820,5,CCC,124,6,0 through 12,0,12,2376,Additional Services & Amenities Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,Provides NC Pre-K,Provides transportation,,0,0,10,13,20,0,0,,,,,,
371,4,CCC,95,7,0 through 12,0,12,507,Additional Services & Amenities Provides transportation Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,Provides transportation,,0,0,10,13,20,0,0,,,,,,Announced
916,5,CCC,199,10,0 through 12,0,12,2696,Additional Services & Amenities Will enroll children with special needs Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/15 Children 4 Year Olds 0 Adult(s)/20 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/25 Children,,,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,0,0,15,20,25,0,0,,,,,,
4603,5,CCC,12,6,0 through 12,0,12,1461,Additional Services & Amenities Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,,,0,0,10,13,20,0,0,,,,,,Announced
2578,5,CCC,160,9,2 through 12,2,12,695,Additional Services & Amenities Provides care for head start Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,Provides care for head start,Provides NC Pre-K,Provides transportation,,0,0,10,13,20,0,0,,,,,,Announced
541,5,CCC,184,9,0 through 3,0,3,74,other,Accredited by a national organization,,,,,Provides transportation,,0,0,10,13,0,0,0,,enhanced requirements,,reduced ratios,,
