provider_id,qr_rating,permit_type,facility_type,capacity,head_start,first_steps,breastfeeding_friendly,sleep_safe,geo_county
932,5,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_40
1658,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
2259,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
1863,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_40
245,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_29
180,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_30
2204,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
1233,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_23
90,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
2024,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_37
2006,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_8
1445,3,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
1613,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_12
1900,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_9
1353,3,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_6
2162,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_9
913,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
1485,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_0
446,3,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
945,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_40
2072,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
1216,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_30
2276,5,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_40
1977,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_18
538,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_37
1286,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_30
1489,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
1484,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
199,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
1705,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_0
1545,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_17
361,3,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
1084,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_17
1810,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_18
2025,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_0
145,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
1512,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_40
698,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_14
994,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_30
1042,3,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_33
1807,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_16
106,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_23
1816,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_23
1071,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
84,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
2099,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
42,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_40
176,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_29
634,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_29
409,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
1031,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_9
2195,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_35
459,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_16
1837,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
1857,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
2367,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_10
896,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
1919,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
2372,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_8
939,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_25
1534,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_26
438,3,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_40
1852,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
1851,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_23
29,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
462,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_12
2312,2,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_11
2176,4,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
1688,3,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_5
938,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_34
990,1,Not Licensed (Exempt),Legally Exempt Program,,False,False,False,False,county_8
705,2,License,Child Care Center,91,False,False,True,False,county_9
340,3,Registration,Family Child Care Home,6,False,False,False,False,county_32
1859,1,Registration,Family Child Care Home,6,False,False,False,False,county_3
1527,1,Registration,Family Child Care Home,6,False,False,False,False,county_18
297,1,Registration,Family Child Care Home,6,False,False,False,False,county_32
823,5,Approval,Child Care Center,280,True,False,False,False,county_16
2198,2,License,Child Care Center,60,False,False,False,False,county_28
179,3,License,Child Care Center,413,False,False,False,False,county_40
594,2,License,Child Care Center,40,False,False,False,False,county_11
126,2,License,Child Care Center,140,False,False,False,False,county_40
2207,1,License,Child Care Center,60,False,False,False,False,county_30
2120,1,License,Child Care Center,120,False,False,False,False,county_17
641,2,License,Child Care Center,196,False,False,False,False,county_40
1185,2,License,Child Care Center,146,False,False,False,False,county_28
264,3,License,Child Care Center,99,False,True,False,False,county_10
881,1,License,Child Care Center,198,False,False,False,False,county_6
1504,2,License,Child Care Center,139,False,True,False,False,county_38
129,2,License,Child Care Center,40,False,True,False,False,county_14
1033,5,License,Child Care Center,162,False,False,False,False,county_40
1400,2,License,Child Care Center,125,False,False,False,False,county_9
940,3,License,Child Care Center,173,False,False,False,False,county_5
461,5,License,Child Care Center,376,False,True,True,True,county_8
1429,2,License,Child Care Center,114,False,True,False,False,county_1
48,2,Approval,Child Care Center,46,True,False,False,False,county_35
1764,2,License,Child Care Center,166,False,True,False,False,county_8
206,1,License,Child Care Center,119,False,True,False,False,county_19
910,2,License,Child Care Center,116,False,False,False,False,county_1
1387,1,License,Child Care Center,271,False,False,False,False,county_17
1697,2,License,Child Care Center,118,False,True,False,False,county_40
486,2,License,Child Care Center,215,False,False,False,False,county_23
858,4,License,Child Care Center,80,False,False,False,False,county_40
1763,2,License,Child Care Center,115,False,False,False,False,county_28
1317,5,License,Child Care Center,150,False,False,True,True,county_11
154,3,License,Child Care Center,142,False,True,False,False,county_3
2046,5,License,Child Care Center,96,False,True,False,False,county_14
764,2,License,Child Care Center,70,False,False,False,False,county_28
1287,2,License,Child Care Center,114,False,True,False,False,county_28
1883,2,License,Child Care Center,110,False,True,False,False,county_11
620,2,License,Child Care Center,148,False,False,False,False,county_28
808,3,License,Child Care Center,135,False,True,False,True,county_24
288,2,License,Child Care Center,108,False,False,False,False,county_23
1981,1,License,Child Care Center,79,False,False,False,False,county_10
1899,3,License,Child Care Center,240,False,False,False,False,county_21
1638,2,License,Child Care Center,106,False,False,False,False,county_28
2294,4,License,Child Care Center,72,False,True,False,False,county_28
972,5,License,Child Care Center,60,False,False,False,False,county_33
307,1,License,Child Care Center,42,False,False,False,False,county_30
19,2,License,Child Care Center,67,False,False,False,False,county_23
2226,2,License,Child Care Center,51,False,False,False,False,county_30
2238,2,License,Child Care Center,127,False,False,False,False,county_40
256,5,License,Child Care Center,121,False,False,False,False,county_17
1912,1,License,Child Care Center,116,False,False,False,False,county_23
986,1,License,Child Care Center,41,False,False,False,False,county_11
192,5,License,Child Care Center,180,False,False,False,False,county_33
1955,3,License,Child Care Center,120,False,True,False,False,county_4
724,1,License,Child Care Center,40,False,False,False,False,county_24
622,3,License,Child Care Center,134,False,True,False,False,county_23
424,2,License,Child Care Center,127,False,True,False,False,county_9
1909,2,License,Child Care Center,127,False,False,False,False,county_9
1505,2,License,Child Care Center,147,False,True,False,False,county_17
1554,3,License,Child Care Center,35,False,False,False,False,county_28
626,2,License,Child Care Center,97,False,True,False,False,county_25
1875,2,License,Child Care Center,100,False,True,False,False,county_24
1692,1,License,Child Care Center,27,False,False,False,False,county_11
2281,5,License,Child Care Center,321,False,False,True,True,county_23
2088,2,License,Group Child Care Home,12,False,False,False,False,county_27
2057,2,License,Child Care Center,98,False,False,False,False,county_40
399,2,License,Group Child Care Home,12,False,False,False,False,county_1
1902,2,License,Child Care Center,104,False,False,False,False,county_21
2157,2,License,Group Child Care Home,12,False,False,False,False,county_23
2330,2,License,Group Child Care Home,12,False,False,False,False,county_16
329,5,License,Child Care Center,108,False,False,True,True,county_23
631,3,License,Child Care Center,109,False,True,False,False,county_1
505,3,License,Child Care Center,192,False,True,False,False,county_40
1015,2,License,Child Care Center,169,False,True,False,False,county_40
392,2,License,Child Care Center,169,False,True,False,False,county_23
557,3,License,Child Care Center,157,False,True,False,False,county_40
1934,2,License,Child Care Center,113,False,True,False,False,county_9
798,3,License,Child Care Center,113,False,True,False,False,county_11
525,2,License,Child Care Center,114,False,False,False,False,county_5
1369,2,License,Child Care Center,106,False,False,False,False,county_28
184,3,License,Child Care Center,100,False,True,False,False,county_40
293,3,License,Child Care Center,58,False,False,False,False,county_23
337,2,License,Child Care Center,58,False,False,False,False,county_30
591,2,License,Group Child Care Home,12,False,False,False,False,county_11
1222,2,License,Child Care Center,45,False,False,False,False,county_17
624,1,License,Child Care Center,144,False,False,False,False,county_28
725,2,License,Child Care Center,39,False,True,False,False,county_8
1710,1,License,Child Care Center,41,False,False,False,False,county_37
2200,2,License,Group Child Care Home,12,False,False,False,False,county_39
898,2,License,Child Care Center,130,False,True,False,False,county_18
1948,5,Approval,Child Care Center,188,True,False,False,False,county_30
1144,3,License,Child Care Center,57,False,True,False,False,county_17
683,3,License,Child Care Center,137,False,True,False,False,county_29
853,4,License,Child Care Center,130,False,False,False,False,county_40
1096,1,License,Child Care Center,65,False,False,False,False,county_33
2335,2,License,Child Care Center,54,False,True,False,False,county_40
710,2,License,Child Care Center,70,False,False,False,False,county_9
1018,2,License,Group Child Care Home,12,False,False,False,False,county_0
1007,3,License,Child Care Center,53,False,True,False,False,county_16
54,2,License,Child Care Center,87,False,True,False,False,county_10
193,2,License,Group Child Care Home,12,False,False,False,False,county_16
2008,1,License,Child Care Center,99,False,False,False,False,county_9
2324,3,License,Child Care Center,208,False,False,False,False,county_5
324,1,License,Child Care Center,109,False,False,False,False,county_34
2393,5,License,Child Care Center,228,False,False,False,False,county_9
498,2,License,Child Care Center,225,False,False,False,False,county_9
1544,1,License,Child Care Center,57,False,False,False,False,county_9
1394,2,License,Child Care Center,185,False,True,False,False,county_40
2351,1,License,Child Care Center,56,False,False,False,False,county_25
172,3,License,Child Care Center,100,False,False,False,False,county_9
1145,3,License,Child Care Center,141,False,True,False,False,county_23
1887,3,License,Group Child Care Home,12,False,False,False,False,county_11
1670,2,License,Group Child Care Home,12,False,False,False,False,county_15
2260,2,License,Child Care Center,172,False,True,False,False,county_37
2342,2,License,Child Care Center,129,False,True,False,False,county_30
1301,5,License,Child Care Center,138,False,False,False,False,county_19
1478,2,License,Child Care Center,100,False,False,False,False,county_3
1937,2,License,Child Care Center,129,False,True,False,False,county_17
1173,2,License,Child Care Center,56,False,False,False,False,county_33
1954,2,License,Child Care Center,242,False,False,False,False,county_9
2173,2,License,Child Care Center,134,False,False,False,False,county_14
1999,1,License,Child Care Center,151,False,True,False,False,county_40
115,1,License,Child Care Center,190,False,False,False,False,county_28
1944,2,License,Child Care Center,173,False,True,False,False,county_3
1683,3,License,Child Care Center,186,False,False,False,False,county_3
2270,1,License,Child Care Center,98,False,False,False,False,county_21
403,1,License,Group Child Care Home,12,False,False,False,False,county_16
1830,3,License,Child Care Center,180,False,False,False,False,county_28
2203,2,License,Child Care Center,103,False,True,False,False,county_40
1407,2,License,Group Child Care Home,12,False,False,False,False,county_11
2123,5,License,Child Care Center,79,False,True,True,False,county_23
218,1,License,Group Child Care Home,12,False,False,False,False,county_29
1151,2,License,Group Child Care Home,12,False,False,False,False,county_18
1104,1,License,Child Care Center,192,False,True,False,False,county_35
1110,1,License,Child Care Center,40,False,False,False,False,county_10
1795,2,License,Child Care Center,99,False,True,False,False,county_25
2231,2,License,Child Care Center,223,False,True,False,False,county_35
917,1,License,Child Care Center,40,False,False,False,False,county_11
1503,1,License,Group Child Care Home,12,False,False,False,False,county_11
1700,2,License,Child Care Center,139,False,False,False,False,county_17
1276,2,License,Child Care Center,190,False,True,False,False,county_9
422,2,License,Group Child Care Home,12,False,False,False,False,county_11
1872,2,License,Child Care Center,146,False,True,False,False,county_3
1140,5,License,Child Care Center,94,False,False,False,True,county_40
357,3,License,Child Care Center,73,False,True,False,False,county_23
2054,2,License,Group Child Care Home,12,False,False,False,False,county_34
1592,1,License,Child Care Center,171,False,False,False,False,county_14
258,2,License,Child Care Center,169,False,True,False,True,county_15
136,2,License,Child Care Center,116,False,True,False,False,county_0
989,3,License,Group Child Care Home,12,False,False,False,False,county_11
2251,3,License,Child Care Center,113,False,True,False,False,county_1
1221,3,License,Child Care Center,32,False,False,False,False,county_22
114,2,License,Child Care Center,36,False,False,False,False,county_37
1446,3,License,Child Care Center,25,False,False,False,False,county_39
365,3,License,Group Child Care Home,12,False,False,False,False,county_39
1010,5,License,Child Care Center,248,False,False,True,False,county_40
243,3,License,Child Care Center,54,False,False,False,False,county_1
2244,1,License,Child Care Center,39,False,False,False,False,county_17
237,1,License,Child Care Center,93,False,False,False,False,county_15
1259,2,License,Child Care Center,202,False,True,False,False,county_40
1245,1,License,Child Care Center,240,False,False,False,False,county_35
2190,2,License,Child Care Center,98,False,True,False,False,county_15
1158,2,License,Child Care Center,265,False,True,False,False,county_9
1137,1,License,Child Care Center,56,False,False,False,False,county_2
2236,2,License,Child Care Center,97,False,False,False,False,county_40
1547,3,License,Child Care Center,118,False,False,False,False,county_8
2387,1,License,Child Care Center,42,False,False,False,False,county_30
1460,3,License,Group Child Care Home,12,False,False,False,False,county_40
905,5,License,Child Care Center,242,False,False,False,False,county_40
452,2,License,Child Care Center,116,False,True,False,False,county_8
573,2,License,Group Child Care Home,12,False,False,False,False,county_33
1190,2,License,Child Care Center,248,False,False,False,False,county_17
765,1,License,Child Care Center,124,False,False,False,False,county_0
1841,2,License,Group Child Care Home,12,False,False,False,False,county_1
2332,3,License,Group Child Care Home,12,False,False,False,False,county_39
2318,1,License,Child Care Center,27,False,False,False,False,county_15
2300,2,License,Child Care Center,73,False,False,False,False,county_28
1966,4,License,Child Care Center,265,False,True,False,False,county_7
1942,3,License,Child Care Center,35,False,True,False,False,county_21
2092,1,License,Child Care Center,211,False,True,False,False,county_40
2029,4,License,Child Care Center,99,False,True,False,False,county_30
303,3,License,Child Care Center,80,False,False,False,False,county_9
2321,2,License,Child Care Center,187,False,False,False,False,county_28
1893,5,Approval,Child Care Center,76,False,False,False,True,county_40
371,1,License,Child Care Center,72,False,False,False,False,county_37
82,2,License,Child Care Center,95,False,True,False,False,county_10
502,2,License,Child Care Center,40,False,False,False,False,county_37
162,1,License,Child Care Center,65,False,False,False,False,county_9
1296,2,License,Child Care Center,114,False,False,False,False,county_8
1914,2,License,Child Care Center,127,False,True,False,False,county_1
2227,2,License,Family Child Care Home,6,False,False,False,False,county_11
1546,2,License,Child Care Center,74,False,False,False,False,county_25
229,2,License,Child Care Center,30,False,False,False,False,county_14
2377,2,License,Child Care Center,77,False,False,False,False,county_25
473,2,License,Child Care Center,279,False,True,False,False,county_11
637,5,License,Child Care Center,179,False,False,False,False,county_31
1745,2,License,Group Child Care Home,12,False,False,False,False,county_16
613,5,License,Child Care Center,412,False,False,False,False,county_1
1921,2,License,Child Care Center,166,False,False,False,False,county_40
