provider_id,qr_rating,facility_type,provider_status,license_status,license_type,license_certificate_type,socrata_operating_status,socrata_facilitytypegeneric,socrata_facilitytypeauthoritydesc,licensed_capacity,license_prior_capacity,total_available_slots,ages_served,age_min_months,age_max_months,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,hours_days_open,hours_weekly_hours,subsidy_participation,food_program_participation,funded_head_start,funded_early_head_start,funded_eceap,formerly_licensed,excluded_from_public_search,tribal_ea_shown,display_on_map,opt_in_map,license_update_approved,initial_license_year,socrata_licensecapacity,socrata_startingage,socrata_endingage,num_complaints,num_inspections,num_licenses,num_contacts,agegroup_infant,agegroup_preschool,agegroup_school_age,agegroup_toddler,complaints_serious_injury_field,langinstr_american_sign_language,langinstr_arabic,langinstr_chinese_mandarin,langinstr_english,langinstr_french,langinstr_somali,langinstr_spanish,langinstr_tagalog,language_american_sign_language,language_amharic,language_arabic,language_chinese_cantonese,language_chinese_mandarin,language_english,language_farsi,language_filipino,language_french,language_hindi,language_japanese,language_korean,language_oromo,language_other,language_pashto,language_persian,language_polish,language_portugese,language_punjabi,language_russian,language_somali,language_spanish,language_swahili,language_tagalog,language_telugu,language_tigrinya,language_ukrainian,language_urdu,language_vietnamese,slotavail_infant,slotavail_preschool,slotavail_school_age,slotavail_slots_available,slotavail_toddler,spec_accreditation,spec_child_outcomes,spec_curriculum_and_staff_supports,spec_family_engagement_and_partnerships,spec_interactions_and_environment,spec_professionalism,complaints_document_view,complaints_self_reported_no,complaints_self_reported_yes,complaints_valid_issues_1,complaints_valid_issues_2,complaints_valid_issues_3,complaints_valid_issues_4,complaints_valid_issues_5,complaints_valid_issues_6,complaints_valid_issues_other,contacts_role_primary_contact,contacts_role_primary_contractor,contacts_role_primary_licensor,contacts_role_secondary_contact,contacts_role_secondary_contractor,geo_region,inspections_checklist_type_childcareinspectionchecklist_pdf,inspections_checklist_type_childcaremonitoringchecklist_pdf,inspections_checklist_type_licensing_ccc_inspection_report,inspections_checklist_type_licensing_ccc_inspection_report_pdf,inspections_document_view,inspections_inspection_type_physical,inspections_inspection_type_virtual,langinstr_other,licensehist_facility_type_child_care_center,licensehist_facility_type_family_child_care_home,licensehist_facility_type_other,licensehist_facility_type_school_age_program,licensehist_license_status_closed,licensehist_license_status_open,licensehist_license_status_open_certified,licensehist_license_status_open_payment_only,licensehist_license_status_other,licensehist_license_status_pending,licensehist_license_status_reason_cannot_comply_with_requirements,licensehist_license_status_reason_capacity,licensehist_license_status_reason_change_license_to_child_care_facility,licensehist_license_status_reason_closed,licensehist_license_status_reason_dcyf_imposed,licensehist_license_status_reason_dlr_cps_investigation_s_complete,licensehist_license_status_reason_expired,licensehist_license_status_reason_failed_to_meet_annual_compliance_requirements,licensehist_license_status_reason_family_did_not_respond_to_renewal,licensehist_license_status_reason_license_issued_in_error,licensehist_license_status_reason_licensee_request,licensehist_license_status_reason_licensee_request_conversion_only,licensehist_license_status_reason_mlr_infraction_s,licensehist_license_status_reason_moved,licensehist_license_status_reason_moved_and_did_not_reapply,licensehist_license_status_reason_moved_conversion_only,licensehist_license_status_reason_moved_new_home_does_not_meet_mlr_s,licensehist_license_status_reason_name_change_modification_only,licensehist_license_status_reason_no_referral_licensee_request,licensehist_license_status_reason_no_referral_lifted_licensee_request,licensehist_license_status_reason_open_dlr_cps_investigation_s,licensehist_license_status_reason_other,licensehist_license_status_reason_provider_meets_mlr_s,licensehist_license_status_reason_revoked,licensehist_license_status_reason_suspended,licensehist_license_status_reason_unknown,licensehist_license_status_reason_withdrawn,licensehist_license_type_initial_1st,licensehist_license_type_initial_2nd,licensehist_license_type_initial_3rd,licensehist_license_type_initial_4th,licensehist_license_type_probationary,licensehist_license_type_unknown,licensehist_regulation_authority_dcyf,licensehist_regulation_authority_government,licensehist_regulation_authority_military,licensehist_regulation_authority_ospi,licensehist_regulation_authority_tribal
1459,3,Family Child Care Home,Open,Open,Full,,,,,12,12,4,birth - 13 years 0 months,0,156,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,other,other,7,104.0,True,True,No,No,No,False,False,False,True,True,True,2023,,,,0,0,1,2,Infant,Preschool,School-age,Toddler,,,Arabic,,English,,,,,,,Arabic,,,English,,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,School Age,Slots Available,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,,,,,,,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
2672,3,Family Child Care Home,Open,Open,Full,,,,,12,12,0,2 months - 6 years 0 months,2,72,7:30 AM - 5:00 PM,7:30 AM - 5:00 PM,7:30 AM - 5:00 PM,7:30 AM - 5:00 PM,7:30 AM - 5:00 PM,,,5,47.5,True,False,No,No,No,False,False,False,False,False,True,2021,,,,0,5,1,2,Infant,Preschool,,Toddler,,,,,English,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,,,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,ChildCareMonitoringChecklist.pdf,Licensing CCC Inspection Report,,View,Physical,Virtual,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
9582,3,Child Care Center,Open,Open,Full,LICENSED,Active,CHILD CARE CENTER,DEL Licensed,51,51,,other,12,108,other,other,other,other,other,,,5,40.0,False,False,No,No,No,False,False,False,True,True,True,2021,51,12 months,9 years 0 months,0,5,1,3,,Preschool,School-age,Toddler,,,,,English,,,,,,,,,,English,,,,Hindi,,,,,,,,,,,,,,,Telugu,,,,,,Preschool,School Age,,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,Secondary Contact,,region_4,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,Licensing CCC Inspection Report.pdf,View,Physical,,,Child Care Center,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
9595,3,Family Child Care Home,Open,Open,Full,,,,,11,11,,birth - 13 years 0 months,0,156,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,7,112.0,False,False,No,No,No,False,False,False,False,False,True,2021,,,,0,7,1,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,School Age,,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
8741,3,Family Child Care Home,Open,Open,Full,,,,,12,12,,birth - 13 years 0 months,0,156,other,other,other,other,other,other,other,7,168.0,False,False,No,No,No,False,False,False,False,False,True,2021,,,,0,4,1,3,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,Secondary Contact,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
5023,3,Family Child Care Home,Open,Open,Initial,,,,,8,8,,1 month - 13 years 0 months,1,156,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,,,5,60.0,False,False,No,No,No,False,False,False,True,True,True,2022,,,,0,10,3,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,Licensing CCC Inspection Report.pdf,View,Physical,,,,Family Child Care Home,,,Closed,Open,,,,,,,,,,,,,,,,,,Moved,,,,,,,,,,,,,Withdrawn,Initial (1st),,,,,,DCYF,,,,
6310,3,Family Child Care Home,Open,Open,Full,,,,,12,9,3,birth - 13 years 0 months,0,156,5:00 AM - 11:59 PM,5:00 AM - 11:59 PM,5:00 AM - 11:59 PM,5:00 AM - 11:59 PM,5:00 AM - 11:59 PM,5:00 AM - 11:59 PM,5:00 AM - 11:59 PM,7,132.88,True,False,No,No,No,False,False,False,False,False,True,2021,,,,0,8,1,2,Infant,Preschool,School-age,Toddler,,,,,,,Somali,,,,,,,,,,,,,,,,,,,,,,,Somali,,Swahili,,,,,,,Infant,Preschool,,Slots Available,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,Licensing CCC Inspection Report.pdf,View,Physical,Virtual,other,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
9909,3,Family Child Care Home,Open,Open,Full,,,,,6,6,1,birth - 13 years 0 months,0,156,7:00 AM - 5:30 PM,7:00 AM - 5:30 PM,7:00 AM - 5:30 PM,7:00 AM - 5:30 PM,7:00 AM - 5:30 PM,,,5,52.5,False,False,No,No,No,False,False,False,False,False,True,2021,,,,0,4,1,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,School Age,Slots Available,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
1285,2,Family Child Care Home,Open,Open,Full,,,,,9,6,,birth - 13 years 0 months,0,156,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,,,5,55.0,True,True,No,No,No,False,False,False,False,False,True,2021,,,,0,8,3,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,English,Farsi,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,,,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,Closed,Open,,,,,,,,,,,,,,,,,,Moved,,,,,,,,,,,,,Withdrawn,Initial (1st),,,,,,DCYF,,,,
9040,3,Child Care Center,Open,Open,Full,LICENSED,Active,CHILD CARE CENTER,DEL Licensed,94,94,,1 month - 13 years 0 months,1,156,6:30 AM - 6:30 PM,6:30 AM - 6:30 PM,6:30 AM - 6:30 PM,6:30 AM - 6:30 PM,6:30 AM - 6:30 PM,,,5,60.0,False,False,No,No,No,False,False,False,True,False,True,2021,94,1 month,13 years 0 months,3,6,1,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,View,No,Yes,1,2,,,,,,Primary Contact,,Primary Licensor,,,region_5,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,Licensing CCC Inspection Report.pdf,View,Physical,,,Child Care Center,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
