provider_id,qr_rating,capacity,min_age_months,max_age_months,num_violations,num_distinct_violation_rules,num_monitoring_visits,num_enforcement_actions,vacancies_count,has_waitlist,waitlist_total,care_after_school_care,care_before_school_care,care_drop_in_care,care_rotating_care,care_sick_care,language_english,language_spanish,philosophy_cognitive_based_philosophy,philosophy_high_scope,philosophy_montessori,philosophy_parent_co_op,philosophy_reggio_emilia,philosophy_religious,philosophy_waldorf_steiner,regtype_certified_family,regtype_licensed_camp,regtype_licensed_family,regtype_licensed_group,regtype_public_school,service_4k_programming,service_ehs_ccp_programming,service_ehs_programming,service_head_start_programming,service_infant_child_care,service_night_time_child_care,service_weekend_child_care
4090,3,45,48.0,131.0,11,10,2,0,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
632,3,8,0.46,167.0,31,21,4,2,0,False,0,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
3457,5,94,1.38,155.0,6,5,5,0,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
4241,5,128,1.38,155.0,61,52,15,8,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
4273,5,124,1.38,155.0,49,37,18,17,0,True,5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
609,2,120,1.38,167.0,46,39,11,11,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
874,5,87,1.38,71.0,7,7,5,0,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
953,5,118,1.38,96.0,8,8,6,2,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3212,5,128,1.38,143.0,26,22,8,4,0,True,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
328,5,97,1.38,143.0,13,13,8,0,0,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2914,5,135,1.38,155.0,55,37,12,4,0,False,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1776,5,111,1.38,155.0,23,18,12,3,3,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4624,5,134,1.38,143.0,36,28,10,1,5,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
284,5,128,1.38,156.0,4,4,6,0,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3994,5,128,1.38,155.0,17,16,10,8,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1045,5,133,1.38,156.0,12,10,6,0,0,False,0,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
806,5,104,1.38,155.0,31,26,6,1,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4635,5,125,1.38,84.0,26,24,8,3,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
165,5,127,1.38,144.0,21,19,6,1,0,True,15,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2769,5,120,1.38,156.0,5,5,3,2,0,True,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
973,5,90,1.38,131.0,33,26,10,2,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4013,5,147,1.38,155.0,3,3,2,0,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
